ID,Name,Age,Nationality
253283,Facundo Pellistri,18,Uruguay
179813,Edinson Cavani,32,Uruguay
245541,Giovanni Reyna,17,United States
233419,Raphael Dias Belloli,23,Brazil
198710,James Rodríguez,28,Colombia
239085,Erling Haaland,19,Norway
235619,Marcus Edwards,21,England
252371,Jude Bellingham,17,England
244778,Francisco Mota Castro Trincão,20,Portugal
204472,Bouna Sarr,28,France
246147,Mason Greenwood,18,England
253004,Anssumane Fati,17,Spain
221479,Dominic Calvert-Lewin,23,England
245367,Xavi Simons,17,Netherlands
239890,Ozan Kabak,20,Turkey
235945,Marc Roca Junqué,23,Spain
251570,Rayan Cherki,16,France
251804,Sergiño Dest,19,United States
247204,Emerson Leite De Souza,21,Brazil
246420,Jérémy Doku,18,Belgium
200888,Danilo Luís Hélio Pereira,28,Portugal
234396,Alphonso Davies,19,Canada
251954,Crysencio Summerville,18,Netherlands
248243,Eduardo Camavinga,17,France
246186,Arthur Mendonça Cabral,22,Brazil
236610,Moise Kean,20,Italy
255475,Antony Matheus dos Santos,20,Brazil
241096,Sandro Tonali,20,Italy
233848,Jens Petter Hauge,20,Norway
222665,Martin Ødegaard,21,Norway
246669,Bukayo Saka,18,England
233049,Jadon Sancho,20,England
246960,Mohamed Ihattaren,18,Netherlands
212462,Alex Nicolao Telles,27,Brazil
245371,Thiago Almada,19,Argentina
256630,Florian Wirtz,17,Germany
243414,Brandon Williams,19,England
254796,Noni Madueke,18,England
245279,Sergio Reguilón Rodríguez,23,Spain
183569,Eric Maxim Choupo-Moting,31,Cameroon
212198,Bruno Miguel Borges Fernandes,25,Portugal
229558,Dayot Upamecano,21,France
234574,José Diogo Dalot Teixeira,21,Portugal
237681,Takefusa Kubo,19,Japan
216388,Allan Saint-Maximin,23,France
235790,Kai Havertz,21,Germany
238794,Vinícius José de Oliveira Júnior,19,Brazil
247263,Edmond Tapsoba,21,Burkina Faso
234906,Houssem Aouar,22,France
240243,Matheus Santos Carneiro Da Cunha,21,Brazil
231747,Kylian Mbappé,21,France
244621,Carlos Vinícius Alves Morais,25,Brazil
243630,Jonathan David,20,Canada
242418,Tariq Lamptey,19,England
231677,Marcus Rashford,22,England
228702,Frenkie de Jong,23,Netherlands
224081,Kalvin Phillips,24,England
236772,Dominik Szoboszlai,19,Hungary
242816,Ricard Puig Martí,20,Spain
246646,Maxence Caqueret,20,France
245037,Eric García Martret,19,Spain
212814,João Mário Naval Costa Eduardo,27,Portugal
213956,Adama Traoré Diarra,24,Spain
236987,Boubacar Kamara,20,France
239818,Rúben Santos Gato Alves Dias,23,Portugal
251566,Gabriel Teodoro Martinelli Silva,19,Brazil
247394,Dejan Kulusevski,20,Sweden
251852,Karim Adeyemi,18,Germany
243715,William Saliba,19,France
239231,Marc Cucurella Saseta,21,Spain
254544,Reinier Jesus Carvalho,18,Brazil
236498,Sam Lammers,23,Netherlands
242444,João Félix Sequeira,20,Portugal
246104,Ryan Gravenberch,18,Netherlands
226166,Nordi Mukiele,22,France
239053,Federico Valverde,21,Uruguay
235212,Achraf Hakimi,21,Morocco
251854,Pedro González López,17,Spain
243812,Rodrygo Silva de Goes,19,Brazil
240740,Callum Hudson-Odoi,19,England
256632,Luis Henrique Tomaz de Lima,18,Brazil
158023,Lionel Messi,33,Argentina
239744,Mickaël Cuisance,20,France
222716,Everton Sousa Soares,24,Brazil
241461,Ferran Torres García,20,Spain
246618,Adam Hloek,17,Czech Republic
250961,Joshua Zirkzee,19,Netherlands
239956,Myron Boadu,19,Netherlands
233731,Alexander Isak,20,Sweden
237678,Ibrahima Konaté,21,France
212622,Joshua Kimmich,25,Germany
225953,Steven Bergwijn,22,Netherlands
236532,Robin Koch,23,Germany
238074,Reece James,20,England
255257,Joelson Augusto Mendes Mango,17,Portugal
20801,C. Ronaldo dos Santos Aveiro,35,Portugal
245992,Billy Gilmour,19,Scotland
252037,Fábio Daniel Soares Silva,17,Portugal
230142,Mikel Oyarzabal Ugarte,23,Spain
231943,Richarlison de Andrade,23,Brazil
245388,Jean-Clair Todibo,20,France
242641,Rayan Aït Nouri,19,France
231478,Lautaro Martínez,22,Argentina
232293,Victor Osimhen,21,Nigeria
258315,Bright Akwo Arrey-Mbi,17,Germany
240950,Pedro António Pereira Gonçalves,22,Portugal
245155,Mohammed Kudus,19,Ghana
211300,Anthony Martial,24,France
256612,F. Evanilson de Lima Barbosa,20,Brazil
226491,Kieran Tierney,23,Scotland
200104,Heung Min Son,27,Korea Republic
232580,Gabriel dos S. Magalhães,22,Brazil
223697,Robin Gosens,25,Germany
243392,Rabbi Matondo,19,Wales
173731,Gareth Bale,30,Wales
246469,Agustín Urzi,20,Argentina
251530,Nuno Albertino Varela Tavares,20,Portugal
245278,Tomás Franco Tavares,19,Portugal
231443,Ousmane Dembélé,23,France
210035,Alejandro Grimaldo García,24,Spain
221363,Donny van de Beek,23,Netherlands
229261,Denis Zakaria,23,Switzerland
252144,Eduardo Filipe Quaresma,18,Portugal
229880,Aaron Wan-Bissaka,22,England
247851,Bruno Guimarães Moura,22,Brazil
189242,Philippe Coutinho Correia,28,Brazil
252961,Tanguy Kouassi,18,France
242656,Illan Meslier,20,France
234378,Declan Rice,21,England
212188,Timo Werner,24,Germany
251573,Renan Augusto Lodi dos Santos,22,Brazil
228092,Sander Berge,22,Norway
231447,Donyell Malen,21,Netherlands
253149,Jeremie Frimpong,19,Netherlands
236632,David Neres Campos,23,Brazil
202556,Memphis Depay,26,Netherlands
206113,Serge Gnabry,24,Germany
229167,Milot Rashica,24,Kosovo
252145,Nuno Alexandre Tavares Mendes,18,Portugal
236988,Eddie Nketiah,21,England
241852,Moussa Diaby,20,France
199914,Allan Marques Loureiro,29,Brazil
244260,Daniel Olmo Carvajal,22,Spain
237692,Phil Foden,20,England
143076,Alejandro Gómez,32,Argentina
238460,Rhian Brewster,20,England
241486,Jules Koundé,21,France
244316,Luís Manuel Arantes Maximiano,21,Portugal
235883,Ryan Sessegnon,20,England
244470,Vladimír Coufal,27,Czech Republic
233064,Mason Mount,21,England
224458,Diogo José Teixeira da Silva,23,Portugal
246174,Harvey Elliott,17,England
225375,Konrad Laimer,23,Austria
234569,Florentino Morris Luís,20,Portugal
242434,Curtis Jones,19,England
236920,Justin Kluivert,21,Netherlands
238744,Weston McKennie,21,United States
242879,Maarten Vandevoordt,18,Belgium
226161,Marcos Llorente Moreno,25,Spain
190871,Neymar da Silva Santos Jr.,28,Brazil
240130,Éder Gabriel Militão,22,Brazil
251517,Joko Gvardiol,18,Croatia
